Samplenum	Food	Type	Country	Year	Hazard	Concentration	LOQ	LOD	Unit	LOQtrue	LODtrue	DummyC	DummyCobs	DummyLOQobs	DummyLODobs	trueprev
1	poultry	broiler	EU	2020	campylobacter	0.757	0.500	0.500	cfu.p.gram	0.5	0.5	0.757	0.757	0.500	0.500	1
2	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.088	NA	NA	0.500	1
3	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.169	NA	NA	0.500	1
4	poultry	broiler	EU	2020	campylobacter	0.629	0.500	0.500	cfu.p.gram	0.5	0.5	0.629	0.629	0.500	0.500	1
5	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.159	NA	NA	0.500	1
6	poultry	broiler	EU	2020	campylobacter	25.769	0.500	0.500	cfu.p.gram	0.5	0.5	25.769	25.769	0.500	0.500	1
7	poultry	broiler	EU	2020	campylobacter	5.641	0.500	0.500	cfu.p.gram	0.5	0.5	5.641	5.641	0.500	0.500	1
8	poultry	broiler	EU	2020	campylobacter	0.796	0.500	0.500	cfu.p.gram	0.5	0.5	0.796	0.796	0.500	0.500	1
9	poultry	broiler	EU	2020	campylobacter	NA	0.9	0.500	cfu.p.gram	0.5	0.5	0.254	NA	NA	0.500	1
10	poultry	broiler	EU	2020	campylobacter	NA	0.9	0.500	cfu.p.gram	0.5	0.5	0.173	NA	NA	0.500	1
11	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.377	NA	NA	0.500	1
12	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.156	NA	NA	0.500	1
13	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.461	NA	NA	0.500	1
14	poultry	broiler	EU	2020	campylobacter	1.732	0.500	0.500	cfu.p.gram	0.5	0.5	1.732	1.732	0.500	0.500	1
15	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.153	NA	NA	0.500	1
16	poultry	broiler	EU	2020	campylobacter	NA	NA	0.500	cfu.p.gram	0.5	0.5	0.152	NA	NA	0.500	1
17	poultry	broiler	EU	2020	campylobacter	1.146	0.500	0.500	cfu.p.gram	0.5	0.5	1.146	1.146	0.500	0.500	1
18	fruitvege	vege	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.012	NA	NA	0.020	1
19	fruitvege	vege	EU	2020	campylobacter	0.022	0.020	0.020	cfu.p.gram	0.02	0.02	0.022	0.022	0.020	0.020	1
20	fruitvege	vege	EU	2020	campylobacter	0.068	0.020	0.020	cfu.p.gram	0.02	0.02	0.068	0.068	0.020	0.020	1
21	fruitvege	vege	EU	2020	campylobacter	0.476	0.020	0.020	cfu.p.gram	0.02	0.02	0.476	0.476	0.020	0.020	1
22	fruitvege	vege	EU	2020	campylobacter	0.600	0.020	0.020	cfu.p.gram	0.02	0.02	0.600	0.600	0.020	0.020	1
23	fruitvege	vege	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.014	NA	NA	0.020	1
24	fruitvege	vege	EU	2020	campylobacter	0.776	0.020	0.020	cfu.p.gram	0.02	0.02	0.776	0.776	0.020	0.020	1
25	fruitvege	vege	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.003	NA	NA	0.020	1
26	fruitvege	vege	EU	2020	campylobacter	0.035	0.020	0.020	cfu.p.gram	0.02	0.02	0.035	0.035	0.020	0.020	1
27	fruitvege	vege	EU	2020	campylobacter	NA	NA	0.020	cfu.p.gram	0.02	0.02	0.016	NA	NA	0.020	1
