IDnum	Weight	broiler1	milk1	fish1	egg1	vege1	broiler2	milk2	fish2	egg2	vege2		
1	77.9	0.00	367.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42.71		
2	70.4	0.00	0.00	0.00	0.00	30.06	0.00	224.49	0.00	0.00	0.00		
3	75.5	0.00	242.22	0.00	0.00	40.36	0.00	374.13	0.00	19.40	0.00		
4	58.4	40.39	0.00	0.00	0.00	13.33	41.80	148.72	0.00	0.00	17.73		
5	52.7	0.00	0.00	0.00	0.00	9.97	0.00	0.00	0.00	0.00	0.00		
6	60.6	49.31	165.89	0.00	0.00	16.89	46.66	135.82	0.00	0.00	16.70		
7	69.1	86.25	0.00	0.00	0.00	14.67	0.00	229.65	0.00	0.00	0.00		
8	56.2	0.00	121.38	0.00	0.00	13.74	0.00	140.32	0.00	0.00	0.00		
9	96.2	0.00	682.79	0.00	55.88	0.00	174.92	615.79	0.00	0.00	86.06		
10	82.9	0.00	0.00	0.00	0.00	48.24	102.33	0.00	0.00	0.00	0.00		
11	79.8	100.59	351.66	0.00	0.00	0.00	0.00	0.00	106.99	0.00	0.00		
12	83.2	122.05	377.68	121.93	30.41	61.26	0.00	338.75	0.00	38.60	63.90		
13	65.7	54.99	0.00	0.00	0.00	24.75	0.00	193.44	0.00	0.00	0.00		
14	67.4	0.00	0.00	0.00	0.00	22.43	0.00	214.10	0.00	0.00	0.00		
15	80.9	0.00	464.30	0.00	0.00	0.00	0.00	387.41	0.00	0.00	0.00		
16	73.1	0.00	0.00	0.00	22.33	0.00	76.05	0.00	97.31	0.00	42.15		
17	75.4	0.00	329.47	94.05	0.00	0.00	0.00	293.97	0.00	0.00	0.00		
18	62.0	44.84	151.11	50.46	0.00	22.33	0.00	193.62	0.00	0.00	16.68		
19	73.5	0.00	266.38	0.00	0.00	39.13	0.00	0.00	0.00	0.00	0.00		
20	62.9	0.00	0.00	0.00	0.00	19.62	0.00	158.78	64.65	0.00	17.77		
21	76.2	0.00	0.00	0.00	0.00	0.00	0.00	318.58	0.00	0.00	0.00		
22	65.5	0.00	216.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
23	62.4	0.00	233.18	0.00	0.00	18.92	64.68	0.00	0.00	0.00	0.00		
24	79.8	0.00	0.00	0.00	0.00	46.34	0.00	408.38	0.00	31.19	57.99		
25	70.1	0.00	257.68	0.00	0.00	0.00	69.38	261.46	0.00	0.00	0.00		
26	65.4	0.00	191.09	0.00	0.00	22.30	0.00	185.72	0.00	13.04	34.76		
27	78.5	0.00	375.26	134.16	0.00	35.72	0.00	0.00	130.00	0.00	0.00		
28	97.0	154.95	664.78	0.00	0.00	0.00	199.19	0.00	0.00	0.00	0.00		
29	75.1	83.05	303.38	0.00	23.38	0.00	0.00	0.00	0.00	0.00	0.00		
30	67.4	0.00	228.45	72.49	0.00	29.12	0.00	201.91	0.00	0.00	24.30		
31	69.8	0.00	0.00	0.00	0.00	36.79	70.84	236.59	78.87	16.55	0.00		
32	71.3	0.00	230.21	0.00	0.00	29.66	0.00	0.00	0.00	0.00	0.00		
33	70.9	0.00	201.42	0.00	0.00	32.44	0.00	243.30	0.00	0.00	0.00		
34	77.7	0.00	304.46	0.00	0.00	57.86	95.40	0.00	0.00	0.00	43.57		
35	88.6	155.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	73.68		
36	82.7	119.58	362.69	0.00	0.00	0.00	0.00	419.04	0.00	0.00	0.00		
37	73.0	0.00	321.99	0.00	0.00	40.53	0.00	292.83	0.00	28.74	0.00		
38	73.2	0.00	242.21	0.00	0.00	0.00	0.00	257.54	101.43	0.00	34.23		
